sales_rank,series_id,category,segment_label,total_sales_units,sales_share,cumulative_sales_share,mean_sales_units,median_sales_units,zero_share,outlier_share,coefficient_of_variation,trend_strength
14,FOODS_3_377,FOODS,stable,276989,0.0041386627820063455,0.09429972486660985,996.363309352518,997.0,0.0,0.0035971223021582736,0.12611232233915837,0.6601721608030021
15,FOODS_3_541,FOODS,medium_noise,272632,0.004073562168836864,0.09837328703544672,980.6906474820144,915.5,0.06474820143884892,0.0035971223021582736,0.63839884402772,1.3799771630869067
16,FOODS_3_080,FOODS,stable,265811,0.003971645418221983,0.1023449324536687,956.1546762589928,946.0,0.0,0.0035971223021582736,0.1926010474982254,2.729884023553159
17,FOODS_3_318,FOODS,medium_noise,264845,0.003957211818882593,0.10630214427255129,952.6798561151079,993.0,0.12949640287769784,0.01079136690647482,0.8711253795953409,0.5668404911307288
18,FOODS_2_360,FOODS,medium_noise,261878,0.003912880049483041,0.11021502432203432,942.0071942446043,1018.5,0.007194244604316547,0.0,0.5870153394109372,1.7550779607048668
19,FOODS_3_681,FOODS,medium_noise,256134,0.0038270554173862985,0.11404207973942063,921.3453237410072,880.5,0.014388489208633094,0.0035971223021582736,0.5202284762788104,1.493936895796269
20,FOODS_3_234,FOODS,medium_noise,254447,0.0038018489141921474,0.11784392865361278,915.2769784172662,904.0,0.0,0.007194244604316547,0.35186455427856267,0.7838134167043327
21,FOODS_1_218,FOODS,medium_noise,237733,0.0035521147740694204,0.12139604342768219,855.1546762589928,820.5,0.0,0.007194244604316547,0.4204426020707793,0.09249488159050583
22,FOODS_3_376,FOODS,medium_noise,231286,0.00345578618717393,0.12485182961485612,831.9640287769785,761.5,0.014388489208633094,0.01079136690647482,0.4762591524503125,1.1732755627834972
23,FOODS_3_607,FOODS,medium_noise,225436,0.003368377743969553,0.12822020735882567,810.9208633093525,778.0,0.19784172661870503,0.0,0.8068107205068153,1.310878264722759
24,FOODS_3_099,FOODS,stable,216471,0.003234426172460624,0.13145463353128628,778.6726618705036,758.0,0.007194244604316547,0.017985611510791366,0.1940388207025899,0.08332708832539182
25,FOODS_3_319,FOODS,medium_noise,208363,0.00311327956434078,0.13456791309562707,749.5071942446043,681.5,0.05755395683453238,0.017985611510791366,0.6528564757263849,0.8507874143942358
26,FOODS_3_295,FOODS,medium_noise,205086,0.0030643158945321057,0.13763222899015917,737.7194244604317,773.0,0.08633093525179857,0.0035971223021582736,0.4387919676455927,0.06839738545091671
27,FOODS_3_804,FOODS,stable,204936,0.0030620746523986604,0.14069430364255783,737.1798561151079,713.0,0.0,0.007194244604316547,0.2829059593265047,0.41207902768126886
28,FOODS_3_752,FOODS,medium_noise,204803,0.0030600874177070052,0.14375439106026483,736.7014388489208,699.0,0.0,0.01079136690647482,0.315907409206397,1.3637334438280435
29,FOODS_3_501,FOODS,medium_noise,202850,0.003030906445129544,0.14678529750539437,729.6762589928057,767.5,0.08633093525179857,0.0,0.4465713038079686,0.09674581370754617
30,FOODS_3_491,FOODS,medium_noise,199199,0.002976354611601479,0.14976165211699585,716.543165467626,762.5,0.08633093525179857,0.0,0.6233380497494528,0.23317149018465624
31,FOODS_3_462,FOODS,medium_noise,194512,0.002906323265738417,0.15266797538273427,699.68345323741,645.5,0.0035971223021582736,0.014388489208633094,0.46596204102038724,0.5116387513724059
32,FOODS_3_711,FOODS,medium_noise,193404,0.002889767957179366,0.15555774333991365,695.6978417266187,672.5,0.0,0.007194244604316547,0.3634110681367839,0.9994609735097676
33,FOODS_3_282,FOODS,intermittent,191126,0.002855730959979439,0.15841347429989308,687.5035971223022,836.0,0.46402877697841727,0.0,1.0202165312087825,2.66429149649256
34,FOODS_3_007,FOODS,medium_noise,187600,0.0028030468282292456,0.16121652112812232,674.8201438848921,649.5,0.0,0.0,0.34594286661903906,0.7366771781956959
35,FOODS_3_811,FOODS,medium_noise,182974,0.0027339269208337845,0.16395044804895612,658.1798561151079,733.5,0.19424460431654678,0.0,0.6416773367021491,1.7134751776111694
36,FOODS_3_030,FOODS,medium_noise,182547,0.0027275468515605764,0.16667799490051668,656.6438848920864,626.5,0.050359712230215826,0.014388489208633094,0.7172378937372542,0.631971650077255
37,FOODS_3_547,FOODS,medium_noise,181908,0.002717999160072098,0.16939599406058878,654.3453237410072,617.5,0.0,0.0035971223021582736,0.3640706873559578,1.4388349365823885
38,FOODS_3_281,FOODS,medium_noise,179140,0.002676640771902916,0.1720726348324917,644.3884892086331,554.5,0.10071942446043165,0.014388489208633094,1.0551310920264514,0.475895521011188
39,HOUSEHOLD_1_334,HOUSEHOLD,medium_noise,174036,0.0026003787729088753,0.17467301360540055,626.0287769784172,683.5,0.2517985611510791,0.0035971223021582736,0.7031898746870299,1.7157825115248377
40,HOUSEHOLD_1_459,HOUSEHOLD,medium_noise,173054,0.0025857061077419184,0.17725871971314247,622.4964028776978,695.0,0.2517985611510791,0.0035971223021582736,0.6866233299028058,1.7574135963606705
41,FOODS_3_389,FOODS,stable,171940,0.002569061149497529,0.17982778086264,618.4892086330935,619.5,0.0,0.007194244604316547,0.200309139274948,2.3393886674313777
42,FOODS_3_458,FOODS,stable,168416,0.0025164069009757815,0.1823441877636158,605.8129496402878,613.5,0.0,0.007194244604316547,0.15996239196652856,0.06506094191661313
43,FOODS_3_498,FOODS,medium_noise,168354,0.0025154805208939574,0.18485966828450975,605.589928057554,583.0,0.0,0.007194244604316547,0.3233359212304111,0.943331930409471
44,FOODS_2_197,FOODS,medium_noise,164027,0.0024508281561511644,0.18731049644066092,590.0251798561151,570.0,0.0,0.0,0.3411847969995883,1.6142195561406074
45,FOODS_3_288,FOODS,medium_noise,162029,0.00242097481093367,0.1897314712515946,582.8381294964029,783.0,0.381294964028777,0.0,0.868524130975496,2.5810243671520507
46,FOODS_2_276,FOODS,medium_noise,160385,0.0023964107971511063,0.1921278820487457,576.9244604316547,537.5,0.0,0.0035971223021582736,0.40261004904590975,2.1160761636422314
47,FOODS_3_764,FOODS,medium_noise,155362,0.002321359068909126,0.19444924111765483,558.8561151079136,613.5,0.23741007194244604,0.0,0.7100019453990777,0.7636815383553328
48,HOUSEHOLD_1_521,HOUSEHOLD,medium_noise,154796,0.0023129021152589247,0.19676214323291374,556.8201438848921,544.0,0.01079136690647482,0.007194244604316547,0.38944824080110646,0.09372146245115802
49,FOODS_3_412,FOODS,medium_noise,152570,0.0022796420819985925,0.19904178531491235,548.8129496402878,528.0,0.0,0.0,0.37413355437395507,0.40548263793666084
50,FOODS_2_128,FOODS,medium_noise,151901,0.0022696461420834255,0.20131143145699576,546.4064748201439,556.5,0.014388489208633094,0.0,0.6082439842324407,1.9797843475087675
51,FOODS_1_085,FOODS,stable,151147,0.0022583801649593057,0.20356981162195506,543.6942446043165,536.0,0.0,0.014388489208633094,0.2732453859520981,0.5644304072079055
52,HOUSEHOLD_1_303,HOUSEHOLD,medium_noise,150681,0.0022514173727314016,0.20582122899468647,542.0179856115108,527.0,0.0035971223021582736,0.007194244604316547,0.43128676693334717,0.21589847550921282
53,HOUSEHOLD_1_110,HOUSEHOLD,medium_noise,150650,0.0022509541826904894,0.20807218317737697,541.9064748201439,696.0,0.29136690647482016,0.0,0.7634348277678368,2.388518509352165
54,FOODS_3_329,FOODS,intermittent,150241,0.0022448430624732946,0.21031702623985027,540.4352517985611,312.0,0.4568345323741007,0.0,1.0405274282246981,1.486898706403423
55,FOODS_3_150,FOODS,medium_noise,149830,0.002238702059027654,0.21255572829887792,538.956834532374,443.5,0.0539568345323741,0.007194244604316547,0.8752944971795298,2.5839386942856875
56,FOODS_3_362,FOODS,medium_noise,147856,0.00220920731255151,0.21476493561142943,531.8561151079136,79.0,0.35611510791366907,0.007194244604316547,1.0875612875695788,1.5297139739241987
57,FOODS_3_739,FOODS,medium_noise,146308,0.0021860776937343523,0.21695101330516378,526.2877697841726,693.5,0.381294964028777,0.0,0.8833301242793588,2.4448708615375705
58,FOODS_3_406,FOODS,medium_noise,143394,0.0021425378298886165,0.2190935511350524,515.8057553956835,522.5,0.09352517985611511,0.0,0.42982007330786354,0.10733582930151868
59,FOODS_3_228,FOODS,stable,142505,0.0021292547348443955,0.22122280586989682,512.6079136690647,515.0,0.0,0.0035971223021582736,0.20568992103652467,2.5777812512138643
60,FOODS_2_181,FOODS,medium_noise,140979,0.002106453831540143,0.22332925970143697,507.11870503597123,454.0,0.0,0.025179856115107913,0.34150688733370654,0.7861345634312696
61,FOODS_3_109,FOODS,medium_noise,140475,0.002098923257971766,0.22542818295940872,505.30575539568343,459.0,0.0035971223021582736,0.007194244604316547,0.4601267589365826,1.211337359725372
62,FOODS_3_580,FOODS,medium_noise,140032,0.00209230412287099,0.2275204870822797,503.71223021582733,494.0,0.0,0.014388489208633094,0.3711544392646564,1.4553861755156552
63,FOODS_3_668,FOODS,stable,138717,0.0020726559001677837,0.22959314298244748,498.98201438848923,501.5,0.0,0.0035971223021582736,0.15443663129299084,1.5942878210645108
64,FOODS_2_326,FOODS,medium_noise,138515,0.002069637694094744,0.23166278067654222,498.25539568345323,497.5,0.0,0.0,0.431749676273017,2.559999264142147
65,FOODS_3_455,FOODS,medium_noise,136740,0.0020431163288489713,0.23370589700539118,491.8705035971223,505.5,0.20503597122302158,0.0035971223021582736,0.8205207377971021,1.335273958522532
66,FOODS_3_516,FOODS,medium_noise,136559,0.0020404118966746137,0.2357463089020658,491.21942446043164,538.5,0.14028776978417265,0.0,0.507012926910324,0.4654349495904291
67,FOODS_1_018,FOODS,medium_noise,136292,0.0020364224856770806,0.2377827313877429,490.2589928057554,487.0,0.0,0.0,0.310482955288482,1.263840529574742
68,FOODS_1_004,FOODS,medium_noise,132251,0.0019760434226020573,0.23975877481034494,475.7230215827338,510.0,0.2517985611510791,0.0,0.7653522087292954,0.7313772681470453
69,FOODS_1_043,FOODS,medium_noise,132220,0.001975580232561145,0.24173435504290608,475.6115107913669,528.5,0.20503597122302158,0.0035971223021582736,0.6531311858297839,0.7688842648373069
70,HOUSEHOLD_1_327,HOUSEHOLD,medium_noise,130633,0.0019518678907892912,0.24368622293369538,469.90287769784175,458.5,0.01079136690647482,0.0035971223021582736,0.41953549131774504,0.15683814742337082
71,HOUSEHOLD_1_083,HOUSEHOLD,stable,129273,0.0019315472954460516,0.24561777022914144,465.01079136690646,437.5,0.0,0.0,0.2936326156166469,2.3845607601413277
72,FOODS_1_032,FOODS,medium_noise,127861,0.0019104497361632172,0.24752821996530466,459.931654676259,479.0,0.14388489208633093,0.0,0.6413052783850293,1.075048275344757
73,FOODS_1_046,FOODS,medium_noise,127854,0.0019103451448636566,0.24943856511016832,459.9064748201439,440.5,0.0,0.01079136690647482,0.399700282924363,0.9475939506582491
74,FOODS_3_702,FOODS,medium_noise,127308,0.0019021870234979146,0.25134075213366625,457.9424460431655,374.5,0.0,0.01079136690647482,0.6101845323071396,1.2542659762897364
75,FOODS_3_785,FOODS,medium_noise,127067,0.0018985860944701787,0.25323933822813643,457.07553956834533,422.5,0.017985611510791366,0.0035971223021582736,0.5514804357049085,1.2621416721322087
76,FOODS_3_499,FOODS,intermittent,126000,0.0018826433920942694,0.2551219816202307,453.23741007194246,600.0,0.43884892086330934,0.0,0.9470590148062712,3.0064847079746926
77,HOUSEHOLD_1_019,HOUSEHOLD,medium_noise,125550,0.0018759196656939327,0.25699790128592465,451.61870503597123,531.0,0.2517985611510791,0.0035971223021582736,0.675073105006206,1.5285325582836984
78,FOODS_3_086,FOODS,medium_noise,124231,0.0018562116765338348,0.25885411296245847,446.87410071942446,429.0,0.03237410071942446,0.0,0.6017630493486781,1.5684786618856785
79,HOBBIES_1_371,HOBBIES,medium_noise,124086,0.0018540451424715041,0.26070815810493,446.3525179856115,475.0,0.0539568345323741,0.0,0.42296133191635055,0.47091925728939366
80,HOUSEHOLD_1_234,HOUSEHOLD,stable,123284,0.0018420619678646817,0.26255022007279466,443.46762589928056,439.0,0.0,0.014388489208633094,0.27770365682503084,2.4539843735400506
81,FOODS_2_021,FOODS,medium_noise,123205,0.0018408815803410672,0.26439110165313573,443.18345323741005,463.0,0.025179856115107913,0.0035971223021582736,0.6333725922178667,1.9854506042978772
82,HOUSEHOLD_1_118,HOUSEHOLD,stable,121337,0.0018129706449725586,0.2662040722981083,436.4640287769784,426.5,0.0,0.01079136690647482,0.19639407048736948,1.119146594205607
83,FOODS_3_744,FOODS,medium_noise,120662,0.0018028850553720535,0.26800695735348035,434.0359712230216,443.0,0.0539568345323741,0.0,0.45718353692131714,1.4590702291919737
84,HOUSEHOLD_1_465,HOUSEHOLD,medium_noise,119633,0.0017875101343366169,0.26979446748781694,430.3345323741007,511.5,0.2517985611510791,0.0,0.6484182570769133,2.4391603753838553
85,HOUSEHOLD_1_418,HOUSEHOLD,medium_noise,119476,0.0017851643009036105,0.2715796317887205,429.76978417266184,485.0,0.2517985611510791,0.0,0.7154347772823025,2.1641122051495096
86,HOUSEHOLD_1_339,HOUSEHOLD,medium_noise,116960,0.001747571199518617,0.27332720298823915,420.71942446043164,464.5,0.2733812949640288,0.0035971223021582736,0.7393264612347356,1.7854225580215706
87,FOODS_3_741,FOODS,medium_noise,115129,0.0017202131038763582,0.2750474160921155,414.13309352517985,381.5,0.0,0.0,0.42324379968203113,1.4088296722276248
88,FOODS_3_756,FOODS,stable,114433,0.001709813740377171,0.2767572298324927,411.6294964028777,402.5,0.0,0.007194244604316547,0.24240146343344698,2.2617616189522436
89,HOUSEHOLD_1_447,HOUSEHOLD,medium_noise,113484,0.001695634148479572,0.27845286398097224,408.2158273381295,461.5,0.2517985611510791,0.0,0.6646934252501653,2.1403856190068273
90,HOUSEHOLD_1_179,HOUSEHOLD,medium_noise,113181,0.001691106839370012,0.28014397082034226,407.12589928057554,411.5,0.007194244604316547,0.0,0.3763804480921033,0.31325050043641195
91,HOUSEHOLD_1_198,HOUSEHOLD,stable,111135,0.0016605362966698146,0.28180450711701205,399.7661870503597,391.0,0.0,0.014388489208633094,0.1921442247455444,0.9941965995310182
92,HOUSEHOLD_1_351,HOUSEHOLD,medium_noise,110897,0.0016569801924847475,0.2834614873094968,398.91007194244605,462.0,0.2517985611510791,0.007194244604316547,0.6836496587578182,1.908161505233322
93,FOODS_3_348,FOODS,medium_noise,110424,0.0016499128089572826,0.28511140011845404,397.2086330935252,407.0,0.08992805755395683,0.0,0.45340458710855963,0.18332225120506718
94,FOODS_3_404,FOODS,medium_noise,110048,0.0016442947620094457,0.2867556948804635,395.8561151079137,376.0,0.046762589928057555,0.017985611510791366,0.6100884893359273,0.14619056564385072
95,FOODS_3_444,FOODS,intermittent,109137,0.0016306829514523198,0.2883863778319158,392.5791366906475,0.0,0.5287769784172662,0.0035971223021582736,1.39770036914962,0.7516842855967935
96,HOUSEHOLD_1_277,HOUSEHOLD,medium_noise,108492,0.0016210456102785037,0.29000742344219427,390.2589928057554,407.5,0.2733812949640288,0.0035971223021582736,0.7723918597187777,1.528430103355426
97,HOBBIES_1_348,HOBBIES,medium_noise,107234,0.001602249059586007,0.29160967250178027,385.7338129496403,417.0,0.06474820143884892,0.0,0.4410098418489615,0.4138507585406818
98,FOODS_2_347,FOODS,stable,107207,0.0016018456360019867,0.29321151813778223,385.636690647482,360.5,0.0,0.007194244604316547,0.29327778833030754,0.8357702969380685
99,HOUSEHOLD_1_409,HOUSEHOLD,medium_noise,106858,0.00159663101263817,0.2948081491504204,384.38129496402877,436.0,0.2949640287769784,0.0,0.777080146780928,1.8656257246462464
100,FOODS_3_154,FOODS,medium_noise,102725,0.0015348773210546334,0.29634302647147504,369.5143884892086,283.5,0.0035971223021582736,0.03597122302158273,0.7671877647143136,1.7312874019651912
101,FOODS_3_454,FOODS,medium_noise,102575,0.001532636078921188,0.2978756625503962,368.97482014388487,372.5,0.17625899280575538,0.0,0.6408695741739341,0.7308433486532554
102,FOODS_3_136,FOODS,medium_noise,102353,0.0015293190405636886,0.2994049815909599,368.17625899280574,386.0,0.014388489208633094,0.0,0.36288501450261773,0.45361472542545994
103,FOODS_3_313,FOODS,medium_noise,101568,0.0015175898733986567,0.3009225714643586,365.3525179856115,287.5,0.05755395683453238,0.03597122302158273,0.9500033054100486,0.3799968342673541
104,FOODS_3_245,FOODS,medium_noise,101399,0.0015150647405949749,0.30243763620495356,364.74460431654677,302.5,0.21223021582733814,0.0035971223021582736,0.8966560593907614,0.9625629210211181
105,FOODS_3_435,FOODS,medium_noise,101212,0.0015122706587352792,0.30394990686368883,364.0719424460432,394.0,0.15827338129496402,0.02158273381294964,0.8192581161405542,0.10625030543225383
106,FOODS_3_697,FOODS,stable,100470,0.0015011839809818354,0.30545109084467065,361.40287769784175,376.5,0.0,0.01079136690647482,0.21349423860427444,2.473156512767657
107,FOODS_2_019,FOODS,medium_noise,99979,0.001493847648398357,0.30694493849306903,359.636690647482,338.0,0.0,0.014388489208633094,0.36103771798780665,1.572758727998026
108,FOODS_3_473,FOODS,stable,99899,0.0014926523192605192,0.3084375908123296,359.34892086330933,362.0,0.0,0.0035971223021582736,0.13390828538412516,1.276489178558058
109,FOODS_3_734,FOODS,stable,99695,0.0014896042299590332,0.3099271950422886,358.6151079136691,350.0,0.0,0.007194244604316547,0.19978762642724002,0.28702145251457645
110,HOUSEHOLD_1_389,HOUSEHOLD,medium_noise,98855,0.001477053274011738,0.31140424831630037,355.5935251798561,345.0,0.01079136690647482,0.0,0.41439515752064315,0.3219430572208211
111,HOUSEHOLD_1_151,HOUSEHOLD,medium_noise,98309,0.0014688951526459963,0.31287314346894635,353.6294964028777,367.5,0.06474820143884892,0.0,0.36951151589204706,0.2880588340031912
112,HOUSEHOLD_1_439,HOUSEHOLD,medium_noise,97832,0.0014617680026616394,0.31433491147160797,351.9136690647482,359.0,0.02877697841726619,0.014388489208633094,0.46426700753119576,0.8061410557697574
113,FOODS_3_446,FOODS,medium_noise,97302,0.0014538489471234651,0.31578876041873144,350.0071942446043,328.0,0.025179856115107913,0.0035971223021582736,0.6207241772702947,2.670579879960502
114,FOODS_3_767,FOODS,medium_noise,97190,0.0014521754863304924,0.3172409359050619,349.6043165467626,306.0,0.08273381294964029,0.017985611510791366,0.6602663106917108,0.3971564992127992
115,HOBBIES_1_268,HOBBIES,medium_noise,96490,0.001441716356374413,0.3186826522614363,347.0863309352518,370.0,0.0539568345323741,0.0,0.4303082167467495,0.09494553817797514
116,FOODS_2_244,FOODS,medium_noise,96378,0.0014400428955814405,0.32012269515701774,346.68345323741005,339.0,0.0,0.0,0.389420443081448,1.7955985304734492
117,FOODS_3_070,FOODS,medium_noise,96308,0.0014389969825858325,0.32156169213960356,346.431654676259,404.0,0.35611510791366907,0.0,0.8691297615233511,2.3111883853261035
118,FOODS_1_096,FOODS,medium_noise,96007,0.0014344995567047185,0.3229961916963083,345.34892086330933,206.0,0.0,0.0,0.7710717907048213,2.9911222512612787
119,FOODS_3_816,FOODS,medium_noise,95426,0.0014258184788411726,0.32442201017514943,343.2589928057554,345.5,0.17625899280575538,0.0035971223021582736,0.660693351057174,0.6523009174337963
120,FOODS_3_042,FOODS,stable,94499,0.001411967602456479,0.3258339777776059,339.92446043165467,344.0,0.0,0.0035971223021582736,0.13912336816111306,0.5197793329171079
121,FOODS_3_524,FOODS,medium_noise,94366,0.001409980367764824,0.3272439581453708,339.44604316546764,338.0,0.0539568345323741,0.0035971223021582736,0.5547590572678857,0.019937854309612722
122,FOODS_3_755,FOODS,medium_noise,94227,0.0014079034833878311,0.3286518616287586,338.94604316546764,315.5,0.09352517985611511,0.0,0.6828291149290584,1.307846092114976
123,FOODS_3_503,FOODS,stable,93731,0.0014004924427332378,0.3300523540714918,337.16187050359713,332.5,0.014388489208633094,0.014388489208633094,0.2498309854879599,0.5653514441041838
124,HOBBIES_1_341,HOBBIES,medium_noise,93502,0.0013970708130761776,0.33144942488456797,336.33812949640287,355.0,0.03597122302158273,0.0,0.4556179489953377,0.8252728722708929
125,FOODS_3_672,FOODS,medium_noise,91806,0.0013717298353540198,0.33282115471992196,330.23741007194246,309.5,0.0,0.017985611510791366,0.3603135135574804,1.0362722128716884
126,FOODS_3_800,FOODS,medium_noise,91749,0.0013708781633433105,0.33419203288326527,330.03237410071944,329.5,0.12949640287769784,0.0035971223021582736,0.7880481377436004,2.529462544480056
127,HOBBIES_1_178,HOBBIES,medium_noise,91716,0.0013703850900739524,0.33556241797333924,329.9136690647482,359.5,0.07194244604316546,0.0,0.41138077432874315,0.4664560469835162
128,FOODS_3_133,FOODS,medium_noise,91206,0.0013627648668202376,0.3369251828401595,328.0791366906475,341.5,0.09352517985611511,0.0,0.4483422486149804,0.007813724153625181
129,HOBBIES_1_370,HOBBIES,medium_noise,91144,0.0013618384867384134,0.3382870213268979,327.8561151079137,339.0,0.08992805755395683,0.0,0.45831224521919994,0.47417782822523497
130,HOUSEHOLD_1_373,HOUSEHOLD,stable,91069,0.0013607178656716906,0.33964773919256963,327.5863309352518,314.0,0.0,0.0035971223021582736,0.2350825898047683,2.9072219932646393
131,FOODS_3_688,FOODS,medium_noise,89086,0.0013310886446675403,0.34097882783723715,320.45323741007195,326.5,0.19424460431654678,0.0,0.7045515957434327,0.6994952064555412
132,HOBBIES_1_008,HOBBIES,medium_noise,88872,0.0013278911392238246,0.342306718976461,319.68345323741005,343.5,0.05755395683453238,0.0,0.4252871957835705,0.10879639459818133
133,HOBBIES_1_254,HOBBIES,stable,88641,0.0013244396263383186,0.3436311586027993,318.8525179856115,308.5,0.0,0.01079136690647482,0.22942801491486833,0.8999579599632049
134,FOODS_1_161,FOODS,medium_noise,88637,0.0013243798598814266,0.34495553846268073,318.83812949640287,316.0,0.0,0.0,0.32499612815969453,1.5573679178382145
135,FOODS_3_526,FOODS,medium_noise,87456,0.0013067338134840987,0.34626227227616485,314.58992805755395,289.5,0.0,0.01079136690647482,0.3625512544289215,1.7271280158976308
136,FOODS_3_574,FOODS,medium_noise,87135,0.001301937555318525,0.3475642098314834,313.4352517985611,296.0,0.01079136690647482,0.0035971223021582736,0.49972117810855643,1.6257657862597255
137,FOODS_3_219,FOODS,medium_noise,86822,0.0012972608300667353,0.34886147066155015,312.3093525179856,347.5,0.1079136690647482,0.0035971223021582736,0.7000696808946228,0.451209148570995
138,FOODS_1_012,FOODS,medium_noise,86633,0.001294436864978594,0.35015590752652875,311.6294964028777,361.0,0.05755395683453238,0.0,0.42579383606341914,2.842000749550587
139,FOODS_3_468,FOODS,medium_noise,86494,0.001292359980601601,0.3514482675071304,311.1294964028777,280.0,0.017985611510791366,0.01079136690647482,0.6168918418297077,2.7561121543078677
140,FOODS_3_474,FOODS,medium_noise,85940,0.0012840823263220755,0.3527323498334525,309.136690647482,311.0,0.20503597122302158,0.007194244604316547,0.7288650616209162,0.922285534076044
141,HOBBIES_1_015,HOBBIES,stable,85637,0.0012795550172125154,0.35401190485066497,308.04676258992805,297.0,0.0,0.014388489208633094,0.24913633535182086,1.0488190981211722
142,FOODS_2_013,FOODS,medium_noise,84682,0.0012652857756295787,0.35527719062629454,304.6115107913669,244.5,0.0,0.017985611510791366,0.4617778402856989,1.0730608504909578
143,FOODS_3_113,FOODS,medium_noise,84485,0.0012623422776276536,0.3565395329039222,303.90287769784175,270.5,0.0,0.0035971223021582736,0.4286837834818944,2.2767007575324603
144,FOODS_3_413,FOODS,medium_noise,84391,0.0012609377658906944,0.3578004706698129,303.5647482014389,308.5,0.11510791366906475,0.0,0.5648860597497172,0.06432123981754483
145,FOODS_2_371,FOODS,stable,84197,0.001258039092731438,0.35905850976254433,302.86690647482015,282.0,0.0,0.02877697841726619,0.29883845525442837,0.797175735387301
146,FOODS_3_263,FOODS,medium_noise,83129,0.0012420814487413057,0.36030059121128566,299.02517985611513,336.5,0.14388489208633093,0.0,0.5528437684784734,0.46852726694341174
147,FOODS_2_325,FOODS,medium_noise,82843,0.0012378081470735363,0.3615383993583592,297.99640287769785,320.0,0.09712230215827339,0.0,0.39729786945052337,1.2662602349398906
148,FOODS_3_477,FOODS,stable,82051,0.0012259743886089435,0.3627643737469681,295.1474820143885,286.5,0.0,0.0,0.20383538918929234,2.129538296510491
149,HOUSEHOLD_1_535,HOUSEHOLD,medium_noise,82024,0.0012255709650249235,0.36398994471199303,295.0503597122302,302.5,0.02877697841726619,0.0,0.442247196410913,0.8561453836482449
150,FOODS_2_152,FOODS,medium_noise,81865,0.0012231952483634711,0.3652131399603565,294.478417266187,295.0,0.02158273381294964,0.03597122302158273,0.30241323271593007,0.2628549610607004
151,FOODS_1_184,FOODS,medium_noise,81269,0.0012142900462865807,0.3664274300066431,292.3345323741007,296.0,0.16906474820143885,0.014388489208633094,0.6780899874319014,0.2830187527695133
152,FOODS_3_570,FOODS,medium_noise,80798,0.0012072525459875618,0.36763468255263065,290.64028776978415,329.0,0.1474820143884892,0.0,0.46703740571498675,1.5818129683482607
153,FOODS_3_363,FOODS,stable,80404,0.0012013655499837114,0.3688360481026144,289.2230215827338,284.0,0.0,0.017985611510791366,0.23539967440930137,0.6888268661731778
154,HOBBIES_1_256,HOBBIES,medium_noise,80107,0.0011969278905594892,0.37003297599317386,288.1546762589928,298.5,0.050359712230215826,0.0,0.4623522699251214,0.666988244879337
155,FOODS_3_351,FOODS,medium_noise,79784,0.0011921017491654698,0.3712250777423393,286.9928057553957,292.0,0.07553956834532374,0.0,0.652282982480026,0.9831794422055264
